r,s,yr,location
1320,6.174724212028993,20,Henry
1320,6.126290471471456,20,Oliver
2640,5.820623050718957,20,Henry
2640,5.6401695182132885,20,Oliver
3960,5.275112171130757,20,Henry
3960,4.9143659840620995,20,Oliver
5280,4.596399748276668,20,Henry
5280,4.052753217927303,20,Oliver
10560,1.790031535394897,20,Henry
10560,1.083562079302768,20,Oliver
