r,s,yr,location
1320,10.352350220472891,20,Henry
1320,10.265867212119575,20,Oliver
2640,9.72119689173074,20,Henry
2640,9.40058336484466,20,Oliver
3960,8.754202499648088,20,Henry
3960,8.118516005617272,20,Oliver
5280,7.560887055351471,20,Henry
5280,6.613720694979632,20,Oliver
10560,2.780039010844869,20,Henry
10560,1.6354742961439734,20,Oliver
